,"0,  SMILE",Euclidean distance after standardization
9843,O=C(OC(=O)C(F)(F)F)C(F)(F)F,0.000
67868,O=C(OCC(F)(F)F)C(F)(F)F,2.534
69614,O=C(NOC(=O)C(F)(F)F)C(F)(F)F,2.847
100849,C=CCOC(=O)C(F)(F)C(F)(F)F,2.949
188429,C=C(F)C(=O)OC(F)(F)C(C)(F)F,3.062
520048,C=COC(=O)C(F)(F)C(F)(F)C(F)(F)F,3.063
67908,CCOC(=O)C(F)(F)C(F)(F)F,3.121
137018,CCOC(=O)C=C(C(F)(F)F)C(F)(F)F,3.155
67724,C=CC(=O)OCC(F)(F)C(F)(F)F,3.167
67721,COC(=O)C(F)(F)C(F)(F)C(F)(F)F,3.189
140676,COC(=O)C(F)(F)C(F)=C(F)F,3.292
1751786,O=C([O-])C(F)(F)C(F)(F)C(F)F,3.303
9781,COC(=O)C(F)(F)C(F)(F)F,3.323
75076,C=CC(=O)OC(C(F)(F)F)C(F)(F)F,3.325
123488,C=C(C)C(=O)OCC(F)(F)C(F)(F)F,3.328
525750,CCCOC(=O)C(F)(F)C(F)(F)F,3.370
9642,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,3.473
533605,C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,3.498
9775,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,3.500
67903,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,3.599
1751787,O=C(O)C(F)(F)C(F)(F)C(F)F,3.627
84621,O=C(C=C(O)C(F)(F)F)C(F)(F)F,3.632
145376,COC(=O)CC(=O)C(F)(F)C(F)(F)F,3.634
549314,O=C(Cl)ON(C(F)(F)F)C(F)(F)F,3.693
87125,C=CC(=O)OCCC(F)(F)C(F)(F)F,3.729
73686,O=C(CC(=O)C(F)(F)F)C(F)(F)F,3.735
76449,C=C(C)C(=O)OC(C(F)(F)F)C(F)(F)F,3.744
549069,C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F,3.770
67772,CC(=CC(=O)C(F)(F)F)C(F)(F)F,3.806
549722,O=C(OCCOC(=O)C(F)(F)F)C(F)(F)F,3.809
